Page ID,Page Name,Disclaimer,Amount Spent (GBP),Number of Ads in Library
501102899913552,HarperCollins Publishers UK,HarperCollins Publishers UK,286,15
221641368264635,Brighton and Hove for EU,Michael John Galsworthy,265,1
107357244036451,Working4UK,Suraj  Sharma,260,2
1809710365746929,Lauren Dingsdale,The Labour Party,252,4
717530348380086,Mark Weston,Stephen Bower,247,4
9250349228,Greenpeace UK,These ads ran without a disclaimer,250,3
1162511627129325,North East for Europe,Scientists for EU,239,1
1410376298994764,Sheffield for Europe,Scientists for EU,239,1
178834628826252,Stroud District Green Party,Stroud District Green Party,240,5
581176261969765,Luke Hall MP,South Gloucestershire Conservatives,240,7
1742082179454868,Croydon for Europe,Michael John Galsworthy,235,1
